band name,country,genres,activity,album title,album year,album img,song title,song len,song lyric,album title sentiment,song title sentiment,song lyric sentiment
Marilyn Manson, Stati Uniti,Industrial metal;Alternative metal;Shock rock,1989 – in attività,Heaven Upside Down,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-B-6i2qiZiL5s4dS73tgMhV3GGGev_cgmM79LpHuDnndh8g2VNn0k8w,Kill4me,3:59,"Let's grab a gold switch blade
And make us a blood pact, babe
To love and to f*ck and to only see ourselves
And remember this

Your hotel hall won't be so vacant
And I can tell that you ain't faking
Because I take death threats
Like the best of them

Would you kill, kill, kill for me?
I love you enough to ask you again
Would you kill, kill, kill for me?
You won't be kissing me unless you kill for me
Kill, kill, kill for me

Bloody noses are just like roses
But what happens when we are betrayed?
Won't you drag him to the shed
And unload six rounds in their fucking face?
This is a sacrifice

Your hotel hall won't be so vacant
And I can tell that you ain't faking
Because I take death threats
Like the best of them

Would you kill, kill, kill for me?
I love you enough to ask you again
Would you kill, kill, kill for me?
You won't be kissing me unless you kill for me

Sideways for attention, longways for results
Who are you going to cross?
Sideways for attention, longways for results
Who are you going to cross?
Sideways for attention, longways for results
Who are you going to cross?

Would you kill, kill, kill for me?
I love you enough to ask you again
Would you kill, kill, kill for me?
I love you enough to ask you again
Would you kill, kill, kill for me?
You won't be kissing me unless you kill for me

Kill, kill, kill for me
Kill, kill, kill for me

Sideways for attention, longways for results
Who are you going to cross?",-0.15555555555555559,0.0,0.15789473684210525
Marilyn Manson, Stati Uniti,Industrial metal;Alternative metal;Shock rock,1989 – in attività,Heaven Upside Down,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-B-6i2qiZiL5s4dS73tgMhV3GGGev_cgmM79LpHuDnndh8g2VNn0k8w,Saturnalia,7:59,"When all your demons die
Even if just one survives
I will still be here to hold you
No matter how cold you are
No matter how cold you are

I see the terror in your teardrop
Take your belief make it snow, let go
And wait together until we thaw

I don't wanna be another bullet hole
In the exit sign on your road
I don't wanna be another bullet hole
In the exit sign on your road

Just smile like a rifle
Hard metal in the setting sun
Just smile like a rifle
Hard metal in the setting sun

I was invited to eat the young
I was invited to eat the young

Starting, possession, symbolic firearms
In the bottomless celebrity scar
Starting, possession, symbolic firearms
In the bottomless celebrity scar

I don't wanna be another bullet hole
In the exit sign on your road
I don't wanna be another bullet hole
In the exit sign on your road

So just smile like a rifle
Hard metal in the setting sun
Just smile like a rifle
Hard metal in the setting sun

I was invited to eat the young
I was invited to eat the young

By the roadside, all the bones they clean
Dump gas in our machine
I will still be here to hold you
No matter how cold you are
No matter how cold you are

Cast out now, no fire to smell
Earth ain't up but sunk it even though my God
It seems like Saturnalia
Sat, sat, sat, sat, sat Saturnalia
Sat, sat, sat, sat, sat Saturnalia

There's no exit planet
No emergency room in this tomb
And it's door only opens one way

There's no exit planet
No emergency room in this tomb
And it's door only opens one way

Sat, sat, sat, sat, sat Saturnalia
Sat, sat, sat, sat, sat Saturnalia
Sat, sat, sat, sat, sat Saturnalia

We're blinded by blackness
We're just empty shells
In the deafening void of our last sunset

We're blinded by blackness
Just empty shells
In the deafening void of our last sunset",-0.15555555555555559,0.0,-0.07200000000000001
Marilyn Manson, Stati Uniti,Industrial metal;Alternative metal;Shock rock,1989 – in attività,Heaven Upside Down,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-B-6i2qiZiL5s4dS73tgMhV3GGGev_cgmM79LpHuDnndh8g2VNn0k8w,Je$U$ Cri$I$,3:59,"I write songs to fight and to f*ck to
If you wanna fight, then I'll fight you
If you wanna f*ck, I will f*ck you
Make up your mind or I'll make it up for you

The present is too fast
Anticipation is killing us
We're cutting up rails
Eating our own tails 

Sucking up snow white powder
White powder, snow white powder
High as a tower and ready to fall
To the street like a viper

(Like a viper)
(Like a viper)
(Like a viper)

I write songs to fight and to f*ck to
If you wanna fight, then I'll fight you
If you wanna f*ck, I will f*ck you
Make up your mind or I'll make it up for you

Sucking up snow white powder
White powder, snow white powder
High as a tower
Fall to the street like a viper

(Like a viper)
(Like a viper)
(Like a viper)

I write songs to fight and to f*ck to
If you wanna fight, then I'll fight you
If you wanna f*ck, I will f*ck you
Make up your mind or I'll make it up for you
Make up your mind or I'll make it up for you

I am like a Jesus Crisis, Jesus Crisis
And I make it all for you
I am like a Jesus Crisis, a Jesus Crisis
And I make it all for you, I make it all for you

Jesus Crisis
Jesus Crisis
Jesus Crisis
Jesus Crisis

I'm the Jesus Crisis
And I made it all for you

I write songs to fight and to f*ck to
If you wanna fight, then I'll fight you
If you wanna f*ck, I will f*ck you
Make up your mind or I'll make it up for you

I write songs to fight and to f*ck to
If you wanna fight, then I'll fight you
If you wanna f*ck, I will f*ck you
Make up your mind or I'll make it up for you

(Fight, F*ck) Make it up for you
(Fight, F*ck) Make it up for you
(Fight, F*ck) Make it up for you
(Fight, F*ck) Make it up for you",-0.15555555555555559,0.0,0.05538461538461539
Marilyn Manson, Stati Uniti,Industrial metal;Alternative metal;Shock rock,1989 – in attività,Heaven Upside Down,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-B-6i2qiZiL5s4dS73tgMhV3GGGev_cgmM79LpHuDnndh8g2VNn0k8w,Blood Honey,4:10,"You only say that you want me
When I'm upside down, upside down
You only say that you want me
When I'm upside down, upside down

I got you tied up and I love it
Tied up and I love it
Now, why would I set you free?

Now you're tied up, you love it
No lies now, I love it
I'm not being mean, I'm just being me

I got some feelings
But I try to hide what I reel in
I f*ck every broken, crazy girl
Instead of hanging from my ceiling

So I keep my life for like
Keep my head loose
But nose is like a beehive
I'm dripping blood honey
I'm dripping blood honey, yeah

I got you tied up and I love it
Tied up and I love it
Now, why would I set you free?

Now you're tied up, you love it
No lies now, I love it
I'm not being mean, I'm just being me

You only say that you want me
When I'm upside down, upside down
You only say that you want me
When I'm upside down, upside down

I'm dripping blood honey
I'm dripping blood honey, yeah
I'm dripping blood honey
I'm dripping blood honey, yeah

You only say that you want me
When I'm upside down, upside down
You only say that you want me
When I'm upside down, upside down

You only say that you want me
When I'm upside down, upside down
You only say that you want me
When I'm upside down, upside down",-0.15555555555555559,0.0,0.015620206004821382
Marilyn Manson, Stati Uniti,Industrial metal;Alternative metal;Shock rock,1989 – in attività,Heaven Upside Down,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-B-6i2qiZiL5s4dS73tgMhV3GGGev_cgmM79LpHuDnndh8g2VNn0k8w,Heaven Upside Down,4:49,"I can hear the scream of trumpets
Smell the ash and sulfur
Talons of battalion scratch out the sky
Like black feathers, scorpion eyes

I don't attract what I want, I attract what I am
Dead as the bees buzzing inside my head

Hold my hand and spin around
Hold my hand and spin around
Hold my hand and spin around
This is heaven upside down

When I try to look inside you
I ended up looking through you
Now you're trying to tell me
You're not a ghost

When I try to look inside you
I ended up looking through you
Now you're trying to tell me
You're not a ghost

I don't attract what I want, I attract what I am
Dead as the bees buzzing inside my head

When I try to look inside you
I ended up looking through you
Now you're trying to tell me
You're not a ghost, you're not a ghost

Not a ghost
Not a ghost
Not a ghost
Not a ghost

Hold my hand, spin around
Hold my hand, spin around
Hold my hand and spin around
This is heaven upside down

Hold my hand, spin around
This is heaven upside down
Hold my hand, spin 'round
This is heaven upside down

When I try to look inside you
I ended up looking through you
Now you're trying to tell me
You're not a ghost

When I try to look inside you
I ended up looking through you
Now you're trying to tell me
You're not a ghost, you're not a ghost

Not a ghost
Not a ghost
Not a ghost
Not a ghost

Not a ghost
Not a ghost
Not a ghost
Not a ghost",-0.15555555555555559,-0.15555555555555559,-0.17361111111111113
Marilyn Manson, Stati Uniti,Industrial metal;Alternative metal;Shock rock,1989 – in attività,Heaven Upside Down,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-B-6i2qiZiL5s4dS73tgMhV3GGGev_cgmM79LpHuDnndh8g2VNn0k8w,Threats Of Romance,4:38,"A girl is a man's sweet nest
We all know the way it ends
No matter how many times we film it
The audience thinks they've seen it for the first time

Things that pretty are always kept behind glass
Someone like me, someone like me can't make it last
I like you damaged, but I need something left
Something for me, something for me to wreck
(Something for me to wreck)

You are my sickness
We all know the way it ends
No matter how we film it
the audience thinks that they saw it for the first time

Things that pretty are always kept behind glass
Someone like me, someone like me can't make it last
I like you damaged, but I need something left
Something for me, something for me to wreck

I like you damaged, but I need something left
Something for me, something for me to wreck
(Something for me to wreck)
(Something for me to wreck)

My seed would have made new fruit
And you could have been a tree
Or I could have cut you down
Or just let you be

These things that pretty are always kept behind glass
Someone like me, someone like me can't make it last

I like you damaged, I like you damaged
I like you damaged, I like you damaged
I like you damaged, I like you damaged
Damaged, I like you damaged",-0.15555555555555559,0.0,0.0489337822671156
Marilyn Manson, Stati Uniti,Industrial metal;Alternative metal;Shock rock,1989 – in attività,KILL4ME,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBBDCX8b9vnVGWefIaL4UICZwfaj-PWTWBfLgZN-JsSPaA_GqT5tFa1heo,KILL4ME,3:59,"Let's grab a gold switch blade
And make us a blood pact, babe
To love and to f*ck and to only see ourselves
And remember this

Your hotel hall won't be so vacant
And I can tell that you ain't faking
Because I take death threats
Like the best of them

Would you kill, kill, kill for me?
I love you enough to ask you again
Would you kill, kill, kill for me?
You won't be kissing me unless you kill for me
Kill, kill, kill for me

Bloody noses are just like roses
But what happens when we are betrayed?
Won't you drag him to the shed
And unload six rounds in their fucking face?
This is a sacrifice

Your hotel hall won't be so vacant
And I can tell that you ain't faking
Because I take death threats
Like the best of them

Would you kill, kill, kill for me?
I love you enough to ask you again
Would you kill, kill, kill for me?
You won't be kissing me unless you kill for me

Sideways for attention, longways for results
Who are you going to cross?
Sideways for attention, longways for results
Who are you going to cross?
Sideways for attention, longways for results
Who are you going to cross?

Would you kill, kill, kill for me?
I love you enough to ask you again
Would you kill, kill, kill for me?
I love you enough to ask you again
Would you kill, kill, kill for me?
You won't be kissing me unless you kill for me

Kill, kill, kill for me
Kill, kill, kill for me

Sideways for attention, longways for results
Who are you going to cross?",0.0,0.0,0.15789473684210525
Marilyn Manson, Stati Uniti,Industrial metal;Alternative metal;Shock rock,1989 – in attività,We Know Where You Fucking Live,2017,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRT27vccB_JH7aHe4N7Ogu-g8Ny2H6zfBk0USUcuHeneDkeHNAK3kB86Kk,We Know Where You Fucking Live,4:32,"Let's make something clear
We're all recording this as it happens
Those diamond bullets, storefront blood bank
Splinters and stained glass

We don't need to move a single prayer bone
Dodge burn so loud and so low
We don't need to move a single prayer bone
Hi-def is still life

So what's a nice place like this
Doing 'round people like us?
So what's a nice place like this
Doing 'round people like us?

We know where you fucking live
We know where you fucking live
We'll burn it down, burn it down
They won't even recognize your corpse

The world was stripped of its superficial surfaces
We don't intend to just eat the street
The asphalt is the good meat

We will sleep on the skin of its nightmares
We will sleep on the skin of its nightmares
Time to just kill this crowd
Scream as fucking loud

We know where you fucking live
We know where you fucking live
We'll burn it down, burn it down
They won't even recognize your corpse

Fire, fire, fire, fire, fire away
Fire, fire, fire, fire, fire away
Fire, fire, fire, fire, fire away
Fire, fire, fire, fire, fire, fire, fire away

I love the sound of shells
Hitting the ground, man
I love the sound of shells
Hitting the ground, I love it

I love the sound of shells
Hitting the ground, man
I love the sound of shells
Hitting the ground, I love it
I love it

Fire, fire, fire away
Fire fire fire away
Fire fire fire, fire fire fire
Fire fire fire, fire fire fire, fire fire fire

We know where you fucking live
We know where you fucking live
We'll burn it down, burn it down
They won't even recognize your corpse

We know where you fucking live
We know where you fucking live
We know where you fucking live
We know where you fucking live

So what's a nice place like this
Doing 'round people like us?
So what's a nice place like this
Doing 'round people like us?",0.13636363636363635,0.13636363636363635,0.19017728303442594
Marilyn Manson, Stati Uniti,Industrial metal;Alternative metal;Shock rock,1989 – in attività,Cupid Carries a Gun,2015,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5wd8r4pmm8m56SCiUbBspMQFr2B07GT1iFicfwPeT4GB-RdFa0B-C5UX9Wg,Cupid Carries a Gun,4:59,"Pound me the witch drums, the witch drums
Pound me the witch drums
Pound me the witch drums, the witch drums
Better pray for hell, not hallelujah

I'm a coat of fists, dead and heartened spiders
Like two mangled crowns or the widest of the meanest coiled snakes
Folks said I look like death
Lived in the hotel of my eyes
Lives wide open like a whore
Painted in spit from the earth between her thighs

Keep your halos tight
I'm your god or your guardian
Keep your halo tight
One hand on the trigger, the other hand in mine
Because now, cupid carries a gun
Now, now, cupid, cupid carries a gun

Pound me the witch drums, the witch drums
Pound me the witch drums
Pound me the witch drums, the witch drums
Better pray for hell, not hallelujah

She had those crow black eyes
Starless but she fucks like a comet
Laid as still as a bible
And it felt like revelations when I looked inside

Keep your halos tight
I'm your god or your guardian
Keep your halo tight
One hand on the trigger, the other hand in mine

Keep your halos tight
I'm your god or your guardian
Keep your halo tight
One hand on the trigger, the other hand in mine

Because now, cupid, carries a gun
Now, now, cupid, cupid carries a gun

Pound me the witch drums, the witch drums
Better pray for hell, not hallelujah

Pound me the witch drums, the witch drums
Better pray for hell, not hallelujah

Pound me the witch drums, the witch drums
Better pray for hell, not hallelujah

Pound me the witch drums, the witch drums
Pound me the witch drums",0.0,0.0,0.0326058201058201
Marilyn Manson, Stati Uniti,Industrial metal;Alternative metal;Shock rock,1989 – in attività,Latest & Greatest Rock,2015,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJ7WfPQWrzmrlwKjZtus-Qm6IM1gzMrej2Toal_ySKUuN1ICEg5iJbRy0&s,Beautiful People,3:42,"And I don't want you and I don't need you
Don't bother to resist, or I'll beat you
It's not your fault that you're always wrong
The weak ones are there to justify the strong
The beautiful people, the beautiful people
It's all relative to the size of your steeple
You can't see the forest for the trees
You can't smell your own shit on your knees

There's no time to discriminate
Hate every motherfucker
That's in your way

Hey you, what do you see?
Something beautiful or something free?
Hey, you, are you trying to be mean?
If you live with apes man, it's hard to be clean

The worms will live in every host
It's hard to pick which one they eat the most
The horrible people, the horrible people
It's as anatomic as the size of your steeple
Capitalism has made it this way
Old-fashioned fascism will take it away

Hey you, what do you see?
Something beautiful or something free?
Hey, you, are you trying to be mean?
If you live with apes man, it's hard to be clean

There's no time to discriminate
Hate every motherfucker
That's in your way

The beautiful people
The beautiful people (aahh)
The beautiful people
The beautiful people (aahh)
The beautiful people
The beautiful people (aahh)
The beautiful people
The beautiful people (aahh)

Hey you, what do you see?
Something beautiful or something free?
Hey, you, are you trying to be mean?
If you live with apes man, it's hard to be clean

Hey you, what do you see?
Something beautiful or something free?
Hey, you, are you trying to be mean?
If you live with apes man, it's hard to be clean

The beautiful people
The beautiful people
The beautiful people
The beautiful people
The beautiful people
The beautiful people
The beautiful people
The beautiful people",0.75,0.85,0.3017906336088154
